,mean_speed,Mean_Time_Per_Step,speed_uncertainty,Speed_Jitter,gpu_type,num_gpu,staged_from
0,8732.96172798,0.00572543445826,6.38821837149,760.257500669,p100,2,$SCRATCH
1,5250.90156603,0.00952217431068,0.734560314488,65.7712300476,k80,2,$SCRATCH
2,4836.64567965,0.0103377429962,2.0790798006,203.196332278,k80,4,$LOCAL
3,5195.14955695,0.0096243620038,0.750577503291,62.7432959525,k80,4,$SCRATCH
4,5226.78712751,0.00956610605717,0.701725293615,70.6215576906,k80,2,$LOCAL
5,12247.082104,0.0040826051116,3.0755178373,359.824827151,p100,2,$LOCAL
6,9434.88880526,0.00529947952032,6.03410140897,828.733279752,p100,1,$SCRATCH
7,2643.51617874,0.0189142023802,3.94097403,340.057168827,k80,1,$LOCAL
8,9600.75461498,0.00520792396069,5.8797432983,762.022696981,p100,1,$LOCAL
9,2673.97413934,0.0186987597466,4.14734043101,386.930156947,k80,1,$SCRATCH
